pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,KMeans_Cluster,HZ_Status,ESI
Kepler-398 c,Kepler-398,1.01,1.01,5.39,591.9423988872155,20.556,0.087,11.419412,0.0,4493.0,0.613,0.649,-0.81101,4.689,0,Outside HZ,0.8094642466098241
Kepler-940 b,Kepler-940,3.34,11.1,1.64,486.0,10.519,0.3059,59.6225257,0.0,5769.0,0.96,0.97,-0.05668,4.47,0,Outside HZ,0.6219634599365627
Kepler-1705 b,Kepler-1705,2.03,4.47,2.977353,860.3684571004569,91.74,0.08,9.03502,0.033,6312.0,1.259,1.139,0.35411,4.298,0,Outside HZ,0.6029750145811634
Kepler-677 b,Kepler-677,5.38,25.0,0.882,1421.3254081707662,683.274,0.067,6.57531678,0.0,5723.0,0.99,1.0,0.38964,4.45,3,Outside HZ,0.3509785865548098
Kepler-67 b,Kepler-67,2.94,8.96,1.94,653.8455202128819,30.6,0.1171,15.7259,0.0,5331.0,0.778,0.865,-0.37633,4.594,0,Outside HZ,0.5912113747202358
HD 108236 e,HD 108236,3.083,9.71,1.82,636.0,35.0031,0.1367,19.590025,0.058,5660.0,0.877,0.869,-0.14997,4.49,0,Outside HZ,0.5866820688321286
Kepler-534 c,Kepler-534,1.227,2.02,6.01,1016.397953344064,178.68,0.0761,7.378689766,0.0,5936.0,0.965,1.075,0.14739,4.501,3,Outside HZ,0.6405843305536348
Kepler-524 c,Kepler-524,0.96,0.84,5.22,2050.4228765529183,2959.338,0.03046,1.88897906,0.0,6014.0,1.1,1.09,0.43947,4.39,3,Outside HZ,0.49535951271288353
Kepler-1246 b,Kepler-1246,1.36,2.42,5.29,630.4567803778352,26.451,0.0848,11.32271513,0.0,4611.0,0.69,0.73,-0.7266,4.63,0,Outside HZ,0.757273631175804
WASP-126 c,WASP-126,9.38,64.2,0.427,,,,7.63,0.05,5800.0,1.27,1.12,0.15879,4.28,2,Unknown,
NY Vir b,NY Vir,13.3,730.978,1.71,338.12,2.178,3.3,3160.0,0.15,32780.0,0.151,0.459,1.37508,5.74193,1,Outside HZ,0.5080482487133297
GJ 625 b,GJ 625,1.49,2.82,4.68,335.59,2.0787,0.078361,14.628,0.13,3499.0,0.31,0.3,-1.894,4.94,0,Outside HZ,0.8939401173079493
TOI-2447 b,TOI-2447,9.60609646,124.90656395,0.774,718.3931770888487,44.5933,0.347,69.33684,0.17,5730.0,1.006,1.034,0.04891,4.3,2,Outside HZ,0.39308943779201166
Kepler-1982 b,Kepler-1982,0.77,0.381,4.59,1397.3802924716408,638.38,0.0511,3.82315697,0.0,6202.0,1.122,1.213,0.37137,4.422,3,Outside HZ,0.550979892175077
HD 154391 b,HD 154391,12.5,2892.2385037,8.14,253.57,0.685,7.46,5163.0,0.2,4909.0,8.56,2.07,1.58115,2.89,1,Conservative HZ,0.5288210363839494
TOI-2583 A b,TOI-2583 A,14.4595851,79.45710175,0.144,1456.0,750.9,0.0571,4.5207265,0.0,5936.0,1.477,1.215,0.38828,4.184,2,Outside HZ,0.2083711416822334
Kepler-1345 b,Kepler-1345,2.36,6.17,2.58,799.6837889460045,68.469,0.26412,44.6169557,0.0,6449.0,1.55,1.32,0.69266,4.18,0,Outside HZ,0.5932611882517627
TOI-4137 b,TOI-4137,13.57407563,457.67290608,1.01,1570.0,1013.0,0.05222,3.8016122,0.0,6202.0,1.438,1.313,0.43933,4.24,2,Outside HZ,0.27791678372309675
Kepler-160 b,Kepler-160,1.715,3.59,3.91,1240.61827626798,396.619,0.05511,4.309397,0.0,5471.0,1.118,1.003,0.00432,4.47,3,Outside HZ,0.5535643511246918
Kepler-346 c,Kepler-346,3.07,9.64,1.83,654.0,23.812,0.168,23.851549,0.0,6033.0,1.021,0.943,-0.15256,4.464,0,Outside HZ,0.5820190915852609
HD 50499 c,HD 50499,13.2,931.2419,2.22,116.69,0.0292,9.02,8619.9,0.0,6099.0,1.42,1.31,0.37632,4.42,1,Outside HZ,0.4157047374142458
K2-395 c,K2-395,3.395,11.4,1.6,,,,8.491282,,5007.0,0.783,0.952,-0.41264,4.628,0,Unknown,
Kepler-922 b,Kepler-922,1.42,2.6,4.99,1876.0,2142.634,0.01795,0.938466832,0.0,5671.0,0.93,0.95,-0.13328,4.48,3,Outside HZ,0.491412012293484
